index,title,date
94,Precious Metals Go. Go Into Into Steep Decline H. ,1986-11-22
63,But Opposition Forming. Drillers Eye Alaskan Wilderness. ,1986-11-24
66,"More Oil, Gas In Alaskan Refuge. ",1986-11-24
52,Arctic Oil Field Drilling Proposed. ,1986-11-24
47,Plans Revealed For Oil Development. ,1986-11-24
45,Sought For Oil. ,1986-11-24
27,Staying Warm Will Cost Less This Winter. ,1986-11-24
33,The Phoenix ,1986-11-24
70,Arctic Area Sought For Oil And Gas. ,1986-11-24
83,Gettysburg Times ,1986-11-24
102,Baghdad Attack Kills 48. ,1986-11-25
37,Energy Futures Prices Take A Beating. ,1986-11-25
97,Oil Prices Fall After Saudi Statement. ,1986-11-25
38,The Albany Herald ,1986-11-25
44,Neport Advises Governmen To Tap Wildlife Region's Oil. ,1986-11-25
67,Congress Told To Consider Arctic Drilling... ,1986-11-25
100,Iraq Claims 48 Killed In Attack. ,1986-11-26
18,Winter Energy Outlook Said Good. ,1986-11-26
80,Industry Calls For Tax Restructuring. ,1986-11-26
106,48 Reported Killed During Missile Attach. ,1986-11-26
107,Iranian Missile Strikes Baghdad Residences. ,1986-11-26
108,48 Reported Killed In Iraq... Iran Missile Hits Residential ... ,1986-11-26
87,The Indian Express ,1986-11-28
64,Bass Strait Oil Output Up By... ,1986-11-28
92,Gas And Oil Are Bargains For Holidays. ,1986-11-28
41,The Wrong Answer. Bv William Murchison ,1986-11-30
154,Crude Oil Offers Five Options. ,1987-02-02
134,We're Heading For Future Energy Crises'. ,1987-02-02
171,Centre Concerned Over Stir Against Refinery. ,1987-02-02
193,Exemption Urged For Small Oil Weils. ,1987-02-04
133,Petroleum Fallout. ,1987-02-06
189,'Oil Patch9 Slump May Spell Crisis. ,1987-02-06
111,Aramco's Deal May Bring Price Stability. ,1987-02-06
146,Educ First Gush Of Alberta. ,1987-02-07
199,Three Rivers Man Injured In Accident. ,1987-02-08
138,Robert Walters... Education And Oil Mix In Louisiana. ,1987-02-11
216,Commodities ,1987-02-12
180,Wholesale Prices Show Largest Rise Since 85. ,1987-02-12
191,Oil Futures Take Technical Downturn. ,1987-02-12
173,In Washington How Education And Oil Mix. ,1987-02-12
218,Gettysburg Times ,1987-02-12
155,Schenectady Gazette ,1987-02-12
112,Analysts Tell Investors Situation Ripe To Sell Fullv Priced ... ,1987-02-12
160,Oil Hikes Cause Wholesale Price Jump. ,1987-02-13
204,Chevron: First Loss Since Depression ,1987-02-13
149,Wholesale Prices. Up 0.6 In January; Crude Oil Jumps. ,1987-02-13
200,Make Jump. ,1987-02-13
202,Remember The Long Lines? ,1987-02-15
201,Group Says $10 A Barrel Oil Tariff Might Cost $100 Billion A ... ,1987-02-16
132,Petroleum Fallout ,1987-02-16
150,Group Says $10 A Barrel Oil Tariff Would Cost Us. $100 ... ,1987-02-16
213,Discovery Of Crude Oil Significant. ,1987-02-18
158,Point Pleasant Register ,1987-02-18
177,"Esso, Bhp Want Tax Cut. ",1987-02-19
162,Toledo Blade ,1987-02-22
166,"Worst Is Over For Refineries, Says Expert. ",1987-02-22
124,Petroleum Industry Experiences Fallout. ,1987-02-23
181,New Us. Oil Crisis Feared In 90s. ,1987-02-23
178,Kuwait Warns To Buy At Opec's Set Prices. ,1987-02-23
163,Us Study Foresees New Oil-Import Crisis In 1990s. ,1987-02-24
197,Manila Standard ,1987-02-24
205,Doubts About Opec Sink Energy Prices. ,1987-02-24
209,Commodities ,1987-02-24
167,Oil And Gas Funds Again Producing. ,1987-02-24
164,Oil Prices Slump Over Worries On Opec Accord. I. Mont ,1987-02-24
192,Opec Cheats Force Oil Lower. ,1987-02-27
169,Texaco Announces Net Income For 1986 Declined 84 Percent,1987-02-27
156,"Oil Slide Temporary, Analysts Predicting. ",1987-02-27
243,Deficit Hocus-Pocus. ,1988-01-03
245,Some Deficit Hocus-Pocus. ,1988-01-04
224,Commodities ,1988-01-04
268,Slash Fuel Bills. ,1988-01-06
241,Deficit Hocus-Pocus. ,1988-01-06
323,"Business Capsules. Oil, Gas Production Remains Stable. ",1988-01-06
308,Oil Prices Are Nearing $18 Mark. ,1988-01-06
290,"Pa Oil Spill Not Unusual, Epa Says. ",1988-01-06
259,Ohic Fuel-Buying Groups Are Hot Idea For Saving On High ... ,1988-01-07
266,Commodities ,1988-01-07
282,Deficit Hocus-Pocus. ,1988-01-07
275,"Slower Growth, But No Recession ",1988-01-10
312,87 Wholesale Prices. Show Modest Gain ,1988-01-15
292,Irs Seeks Billion In Back Taxes From Troubled Texaco. ,1988-01-15
302,By Feds And State. Shell Application To Be Checked. ,1988-01-15
267,Iran Eyes Cutback On Oil Production ,1988-01-17
261,Iran May Cut Oil Productior Washington Arabia's Pd Iranian ... ,1988-01-17
269,Iran May Cut Its. ,1988-01-17
311,Cheaper Crude Oil Blends. ,1988-01-19
238,Record-Journal ,1988-01-19
294,Humphrey Criticizes Bush For Role In Oil Price Increase. ,1988-01-19
234,The Free Lance-Star ,1988-01-19
297,Prudhoe Oil Polluting Tundra? Groups Protest Further As ... ,1988-01-21
319,Manila Standard ,1988-01-21
321,Keating; Lifts Limit On Foreign Oil And Gas Investment. ,1988-01-21
299,Leader To Meet Reagan Environmental Groups Claim Tundra ,1988-01-21
322,Exxon Posts Earnings Gain ,1988-01-26
315,"Drilling Of Oil, Natural Gas Wells In Us. Expected To Rise By ",1988-01-30
316,Oil Well Drilling To Increase. ,1988-01-30
439,Georges Bank Drilling Plan Spurs Debate. ,1988-04-01
424,Oil Prices Mixed In ,1988-04-01
427,Texaco Tries To Shed Musty Corporate Image. ,1988-04-03
344,Lakeland Ledger ,1988-04-03
422,Transition To The Gas Era. ,1988-04-04
348,Indons Cutting Prices: Mees. ,1988-04-06
401,Unocal Plant Involved... Oil Tanks Blaze Extinguished. ,1988-04-06
437,New Cars Becoming More And More High-Tech. ,1988-04-15
431,Make Your Home Our Home 212 Sam Houston Continkntal ... ,1988-04-15
414,Commodity Roundup. ,1988-04-16
434,Drop In Oil Prices Slows Eor Projects. ,1988-04-20
426,"Gulf Crisis Spurs Gold Stocks, But Industrials Down. ",1988-04-20
416,"Business Opec Members Face Another Crisis, But Higher Oil ",1988-04-24
418,"Opec May Be Losing Battle, Again ",1988-04-24
351,Byrd Puts Brakes On Bill. Vote On Trade Measure Postponed. ,1988-04-27
369,Business.. Demos Seek Veto-Proof Trade Bill. ,1988-04-27
356,"Steel Coming Back, Use Head. Head Ifs... We're Putting... ... ",1988-04-27
354,'Someone Nas Got Me... ,1988-04-27
330,Public Notice Spotsylvania County. ,1988-04-27
521,Blood Donors Needed. ,1988-05-06
527,Refinery Explosion Kills 1. Oil Prices Leap Due To Loss Of 1 ... ,1988-05-06
494,"Suit Against Blaine Twp, Is Dropped Officials Did Not ... ",1988-05-06
530,4 Missing In Refinery Explosion ,1988-05-06
491,Must Discourage Use Of Oil. ,1988-05-07
481,The Lewiston Daily Sun ,1988-05-07
477,Three More Bodies Found In Burned Refinery Ruins. ,1988-05-07
472,Missing Men Being Sought. ,1988-05-07
471,Missing Men Being Sought. ,1988-05-07
536,4 Missing Men Hunted At Louisiana Refinery. ,1988-05-07
515,The Indian Express ,1988-05-07
534,Search For Men Continues After Refinery Explosion ,1988-05-07
538,Beaver Country Times ,1988-05-08
540,The Robesonian ,1988-05-08
474,Oil Prices Continue Mixed. ,1988-05-11
539,New Oil Cartel Urged. ,1988-05-11
487,Pennsylvania Oil Well Operators Balking At Environmental Rules,1988-05-11
443,Tesoro Sells Firm Parts. ,1988-05-12
546,Ultramar Better Than Expected. ,1988-05-12
548,Wholesale Preaching. ,1988-05-12
514,Oil ,1988-05-12
520,New Sunday Times ,1988-05-13
444,Tesoro Sells Firm Parts. ,1988-05-13
535,Scale Down Inflation Fears. ,1988-05-14
533,The Victoria Advocate ,1988-05-14
532,Inflation Lear. ,1988-05-14
500,Gulf ,1988-05-15
454,"Battered By Regulations, Prices. ",1988-05-15
529,Iraqi Jets Bomb Huge Tankers At Iran Oil Terminal. ,1988-05-15
506,Projects Enable Shell To Use More Local Crude. ,1988-05-17
440,Business Oil Expert Cautions That Shortages Are Not Entirely ,1988-05-18
528,Exxon Reports Earnings. ,1988-05-20
517,Action Against Caltex. ,1988-05-20
460,China's Largest Oil Field To Run At A Loss. ,1988-05-24
543,'Cream Of The Crop Judged. Former Director Of The Southern ,1988-05-24
452,The Vindicator ,1988-05-27
537,Oil Prices Drift Lower. ,1988-05-29
524,Is There A Cure For Africa's Foreign Debts? ,1988-05-29
450,Warning ,1988-05-31
461,'88 Looking Up For Depressed Oil States. Luvv Prices Sink. ... ,1988-05-31
605,Crude Oil Production ,1988-06-01
659,"Oilfield To Produce By Late 1990, Says Bulletin ",1988-06-02
567,Warning ,1988-06-02
643,International Opec Puts Off Meeting To June 11. ,1988-06-03
639,Reading Eagle ,1988-06-03
640,Reuters ,1988-06-04
632,Counter Trade May Be On The Decline. ,1988-06-06
628,Wholesale Prices Rise In May. ,1988-06-10
650,Commodity Roundup. ,1988-06-10
594,Sl Refinery Observes 40th Anniversary. ,1988-06-10
600,Pumice Assures Smooth Wood Surface. ,1988-06-10
609,Oil Glut Tops Opec Agenda. ,1988-06-10
580,Opec Wants Unity. ,1988-06-12
582,Opec Told To Set Aside Differences. ,1988-06-12
589,Opec Chief Urges Members Ignore Differences. ,1988-06-12
606,"Jane M. Smith Of Morgantown, Using Pumice Can Give That ",1988-06-12
599,New Spirit Could Ease Opec Woes. ,1988-06-18
573,Saudi Arabia Clinches $2 Billion Joint Venture Deal With Texaco,1988-06-20
635,Pittsburgh Post-Gazette ,1988-06-21
646,Ocala Star-Banner ,1988-06-21
607,Repeal This Obsolete Oil Tax. ,1988-06-21
622,Oil Prices Take Plunge. ,1988-06-21
583,International Boost For Indonesia's Petro Chemical Industry. ,1988-06-21
621,Il Prices Recover Rom Early Slump. ,1988-06-23
619,Gas Futures On Increase. ,1988-06-23
623,Drought Causes No Water Woes In City. ,1988-06-24
595,Are There Many Kinds Of Oils? ,1988-06-24
647,Oil Prices Decline. ,1988-06-24
649,Commodity Roundup. ,1988-06-24
603,Sydney: Shares Fall Sharply. ,1988-06-29
590,May Burn Off Oil Spill. ,1988-06-29
637,Fair Site Dedication July 17. ,1988-06-30
550,World Oil Prices Plunge. ,1988-06-30
671,International Businesss? Finance. Oil Prices Likely To Go Up ,1988-08-01
707,Opec Pricing Panel Faces Uphill Fight Against Glut. ,1988-08-03
711,Crude Oil Production ,1988-08-03
719,Expected Tax Repeal May Boost Optimism. ,1988-08-05
672,Gulf War: Oil Boom Sparked It And Doused It. ,1988-08-05
747,"Uil Futures Uip. Amid Opec, Inventory Woes. ",1988-08-05
724,The Sydney Morning Herald ,1988-08-05
714,Looking For Some Market Action? Just Wait For The Next Headline!,1988-08-06
693,'New Era Is Just Another Giveaway. ,1988-08-06
715,"Drilling Started To See If Paris, City Of Light, Sits On ... ",1988-08-07
702,Irish ,1988-08-07
677,Social Security? Many People Only Know. ,1988-08-07
735,Non-Opec Ready For Cuts: Oil Chief. ,1988-08-08
760,Non-Opec Producers Still Willing To Curb Output'. ,1988-08-08
745,Barge Releases Oil Into Gulf Of Mexico. ,1988-08-12
708,Headlines And Market Action ,1988-08-12
765,Petronas Awarded $840m Loan By Japanese Govt. ,1988-08-12
769,Ruptured Barge Spills Oil Off Mississippi. ,1988-08-12
703,Earth Sake. ,1988-08-13
761,Oil Futures Prices Drop. ,1988-08-13
709,Probe On Oil Companies Alleged Tax Evasion Set. ,1988-08-13
756,Gushers And Dusters. Oil Well Completed. Jackson County. ,1988-08-14
664,Manila Standard ,1988-08-14
718,Oil Futures Prices Climb. ,1988-08-15
748,Output May Be Cut By One Mil Bpd: Opec Chief. ,1988-08-16
750,Oil Production Cut Is Predicted J. ,1988-08-16
667,The Indian Express ,1988-08-16
673,"Am Am Gazette, Thursday, August. I No If. It In Ill Ll. ... ",1988-08-18
755,Guingona Seeks Further Rollback In Oil Prices. ,1988-08-23
758,Oil Prices Close Higher. ,1988-08-23
680,Caltex Seeks Gov't Refund. ,1988-08-25
674,Warning ,1988-08-25
716,Tanker Oil ,1988-08-25
681,Warning ,1988-08-25
704,Oil Futures Prices Go Up In Sporadic Trading Day. ,1988-08-27
705,Oil Prices Down Anew. ,1988-08-27
661,More Than M79 M Spent On Environment. ,1988-08-27
713,Berry's World. ,1988-08-29
665,Oil Refiners Adapt To Market Changes. ,1988-08-29
739,Texaco Payments Ok'd. ,1988-08-29
710,Texaco Settlement Ok'd. ,1988-08-29
744,Texaco Settlement. ,1988-08-29
666,Schenectady Gazette ,1988-08-30
712,Us Approves Texaco Payment. ,1988-08-30
736,Texaco To Pay Us. ,1988-08-30
679,Billion Texaco Settlement Finalized. ,1988-08-30
743,Texaco Payments Ok'd. ,1988-08-30
742,I Settleient. Approved ,1988-08-30
740,Nasa Loads Satellite Aboard Space Shuttle. ,1988-08-30
738,Deal With Texaco. ,1988-08-30
737,Texaco To Pay Us. Billion ,1988-08-30
678,Ellensburg Daily Record ,1988-08-30
870,Petroleum Research Continues. ,1988-10-02
790,Research Facility Going Strong Despite Prices. ,1988-10-02
871,Petroleum Research Ill Continues. ,1988-10-02
866,Letters To The Editor: ,1988-10-02
857,New Role For Once-Powerful Opec: Small Fish In A. Big Pond. ,1988-10-02
856,"Tenneco Sells Its Oil, Gas Subsidiary In Biggest Auction By ... ",1988-10-11
858,Saudi Arabia To Remain In Opec. Riyadh Denies Quit... ,1988-10-11
843,"Reduce Oil Output To Agreed Levels, Saudis Implore Opec. ",1988-10-11
852,Editorial Lower Prices And Planning. ,1988-10-11
817,Oil Tax Cut! Not. On Yet'. ,1988-10-14
811,Good Reasons For A Tax. ,1988-10-17
806,In Washington Premium Boondoggle In Gas. ,1988-10-17
876,No More Oil Discount. ,1988-10-17
862,Oil Prices Continue Climb. ,1988-10-18
831,Agriculture ,1988-10-18
836,Daytona Beach Sunday News-Journal ,1988-10-19
822,"Linstock, Fettle. ",1988-10-21
865,"Heating Oil, Gas Prices Defy Reason, Tradition ",1988-10-21
848,Markets Comm Odity Roundup. ,1988-10-22
833,Oil Crisis? What Oil Crisis? ,1988-10-23
819,"Opec Cut In Oil Production Expected, Top Ministers Say. ",1988-10-23
844,Nation ,1988-10-26
838,West Asia Crude Below $26.50 A Barrel. ,1988-10-26
824,Oil Companies Reap Profits. ,1988-10-26
829,Crude Oil Futures Mixed In Dull Trading. ,1988-10-27
859,Oil Prices Mixed In Dull Trading. ,1988-10-27
803,Oil Market May Adjust. ,1988-10-27
802,Oil Market May Adjust. ,1988-10-27
800,Premium Gas Boondoggle. ,1988-10-27
839,Price Drops Leave Producers With The Oil Barrel Blues. ,1988-10-30
879,Price Drop Isn't Hurting Oil Research. ,1988-10-30
849,"Slipping On Oil Glut. Us Economy. Thrives, Management In ... ",1988-10-30
874,Banker Cites Texas Crisis To Rotarians. ,1988-10-30
946,State May Truck Oil-Slickened Birds Inland ,1989-01-03
956,"Texaco, Saudi Agree To Venture. ",1989-01-03
955,World ,1989-01-03
926,Spills Threatened In Alaska. ,1989-01-05
897,Ellensburg Daily Record ,1989-01-06
970,Glitch May Have Caused Oil Spill. ,1989-01-08
884,The Indian Express ,1989-01-08
972,"The Victoria Advocate, Sunday, January 8, 1989-7a. Missouri ",1989-01-08
913,Boca Raton News ,1989-01-16
937,Opec Help Sought To Stabilize Prices. ,1989-01-16
961,Oil Futures Market Soars. ,1989-01-16
952,Futures Plunge. ,1989-01-18
948,State Oil Production Continues At 100%. ,1989-01-18
930,Oil Price Gains Strong. ,1989-01-18
951,Corn Futures Plunge Again ,1989-01-18
966,Hi Price Mis 4-Month High High. ,1989-01-19
943,Crude-Oil Futures Break $19 Barrier. ,1989-01-19
949,Oil Prices Surge In Rally; Crude At 14-Month High. ,1989-01-19
883,The Indian Express ,1989-01-19
899,Vai Any. Tore Oil In Ir. ,1989-01-19
927,Oil Production Holds. ,1989-01-19
931,Oil Prices Continue Advance. ,1989-01-19
960,Grand Jury Takes Look At Oil Spill. ,1989-01-22
947,Texaco Canada Sold For $Use. 1 5 Billion ,1989-01-23
967,Index ,1989-01-23
988,Oil Production Figures Released. ,1989-01-25
954,News Briefs. ,1989-01-25
932,Opec Planners Huddle On Crude Oil Prices. ,1989-01-26
905,"Low Crude Prices Cut Mobil, Chevron And Exxon Profits. ",1989-01-26
923,Lodi News-Sentinel ,1989-01-26
938,Oil Traders Watching For Signs Of Deal To Control Production,1989-01-26
964,Crude Oil Prices Soar. ,1989-01-26
907,Shell Earnings Decline. ,1989-01-26
936,Ucers Recommend Steps To Boost Prices. ,1989-01-27
969,Groups Seek Oil Price-Support Agreement. ,1989-01-27
935,"Opec Leaders Agree, Want Higher Prices. ",1989-01-27
945,Oil Producers Make Price-Hike Pact. ,1989-01-27
915,International Opec Attempt To Secure Accord To Boost Prices. ,1989-01-28
950,Thcf Total. ,1989-01-28
925,Volatil ,1989-01-28
909,Commodities: Review. ,1989-01-30
953,Oil-Drilling Measure Aims To Protect Bay. ,1989-01-30
957,It Oil For Oil Import Fee. ,1989-01-30
1001,Simex To Offer Fuel Oil Futures Contract. ,1989-02-02
1049,Sarasota Herald! Sunday February 1989. Oil Spill May Harm ,1989-02-04
1077,Bp Exploration Will Spend Nearly $900 Million In ,1989-02-04
1015,A4 The Day. New London Conn Sunday. Antarctic Oil Spill May ,1989-02-04
1047,Hance Says Hell Pay For Switzerland Trip. ,1989-02-05
1050,Ship's Oil Spill May Threaten Antarctic Environment. ,1989-02-05
1018,Antarctic Oil Spill Threatens Wildlife Research. ,1989-02-05
1056,Scientists: Antarctic Spin Threatens Research. ,1989-02-05
1064,The Telegraph ,1989-02-05
1074,Oil Spill Threatens Study. ,1989-02-05
1072,Threatens Research. ,1989-02-05
1073,Antarctic Spill Threat To Wildlife. ,1989-02-05
1076,"Scientists Say Oil Spill Hurts Nature, Wildlife Research. ",1989-02-05
1083,Wildlife Study Threatened By Antarctic Spill. ,1989-02-05
1086,Antarctic Oil Spill May Threaten Study. ,1989-02-05
1044,Experts: Antarctic Spill Has Forever Chanaed Researcl. ,1989-02-05
1043,Sarasota Herald Trib. Sunday February 1989. Oil Spill May ... ,1989-02-05
1060,Crude Oil. ,1989-02-08
1085,Greenwich ,1989-02-08
1087,Greenwich ,1989-02-08
1069,Editorial ,1989-02-08
1055,Commodity Roundup. ,1989-02-08
1021,Crude Oil Futures Bound Back After Early Slide. ,1989-02-08
1091,"4a.. Thursday Februarys, We. The Federal Gas Tax Should Be ",1989-02-09
1082,Fine Powder Covers Kenova. ,1989-02-09
1033,Wholesale Costs Skyrocket At Annual Rate Of ,1989-02-10
1079,Wholesale Prices Soar. ,1989-02-10
1075,Oil Flows Threaten Continent's Pristine Environment. ,1989-02-10
1042,Producer Prices Soar At 12.7 Percent Annual Rate. ,1989-02-10
1029,Wholesale Prices Soar At Annual Rate Of 12.7 Percent. By ... ,1989-02-10
1020,Wholesale Prices Shoot Up. January's Surge At Annual Rate ... ,1989-02-10
1032,Energy Futures Fall Sharply. ,1989-02-11
1030,Wholesale Prices Soar At Annual Rate Of ,1989-02-11
1012,Commodities ,1989-02-11
1054,The Telegraph ,1989-02-13
1093,Ekiss Us. Sam Donaldson.. Gas Tax Should Increase. ,1989-02-13
1096,102 Legal 102. Legal Notices Notices. ,1989-02-14
996,Crude Oil Prices Decline. ,1989-02-14
1092,Observer-Reporter ,1989-02-14
1014,Crude Oil. ,1989-02-14
997,Crude Oil Prices Decline. ,1989-02-15
998,Palouse Wheat Could Ease Opec Squeeze. ,1989-02-15
1097,Oil Tanker Adrift In North Sea. ,1989-02-15
993,Commodities ,1989-02-15
1088,The Glasgow Herald ,1989-02-17
1098,Bp Profits Down 13 Per Cent. ,1989-02-18
1099,Deficit ,1989-02-19
1089,Game Of Chicken Over. ,1989-02-20
1013,Non-Opec Nations Back Cut In Exports. ,1989-02-22
1094,Amoco To Pay France. Judge Adds To Oil Spill Damages. ,1989-02-22
1063,Spokane Chronicle ,1989-02-22
1039,Non-Opec Nations May Join Move To Spur Price Pickup. Oil ,1989-02-22
1017,Non-Opbu Producers To Cut Exports. ,1989-02-22
1004,In Alaska. New Oil Field Found. ,1989-02-22
1016,Independent Producers Offering To Help Opec. ,1989-02-22
1023,Petroleum Futures Mixed. ,1989-02-24
991,Wells Yield More Gas. ,1989-02-24
1053,Commodities ,1989-02-24
1034,Earnings From Crude Oil Up. ,1989-02-24
1037,Commodity Roundup. ,1989-02-25
1078,China Discovers New Oilfields. ,1989-02-26
1036,Demand Drops Ohioans Also Suffer From Oil Price's In January ,1989-02-26
1003,Warning ,1989-02-27
1095,Shell Workers Buried Soiled Coveralls In River Sandbar. ,1989-02-28
1046,Petroleum Futures. ,1989-02-28
1041,"Rub-A-Dub-Dub, In Style. Models Wave From The Front Seat. Of ",1989-02-28
1051,Wrong Audience. ,1989-02-28
1040,Business Capsules. Egypt Raises Oil Price. ,1989-03-01
1027,Possible Way To Improve Oil Extraction Process. ,1989-03-01
1011,Energy Futures Go Higher. ,1989-03-02
1124,Commodities ,1989-05-01
1135,Captain Of Indian Supertanker Detained After Spill. ,1989-05-01
1118,Ocean Fungus May Be Partial To Oil Spill Snack. ,1989-05-01
1179,Sarasota Herald-Tribune ,1989-05-02
1134,Nw Asks Gas-Price Probe. 3 States Federal. At The Gas Pumps. ,1989-05-02
1131,Probe Of Oil Prices Asked. ,1989-05-02
1130,Officers To Probe Oil Prices. ,1989-05-02
1173,Crude Oil Prices Increase. ,1989-05-02
1106,Don't Panic! The Pumps Won't Just Dry Up. By Roger Nicholson,1989-05-02
1152,Officials Want Oil Price Answers. ,1989-05-02
1153,Us Asked To Probe Gas Prices. ,1989-05-02
1120,Oil Prices Fall As Saudis Boost Output. ,1989-05-03
1108,Who Is Really Behind Rising Cost Of Gasoline? ,1989-05-03
1117,Us Total Crude Oil Imports. ,1989-05-03
1149,Oil Spill Wasn't That Terrible. Buchwald ,1989-05-05
1199,Investigation In New York Slows Trading. ,1989-05-05
1122,Observer Reporter. Washington Saturday. May Gasoline Prices ,1989-05-06
1140,The Lewiston Journal ,1989-05-06
1182,A Devastating Oil Spill. ,1989-05-06
1158,Oil Firm Eyes Expansion ,1989-05-07
1208,"Big Oil Spill Would Still Overwhelm Puget Sound Equipment, ",1989-05-08
1159,Rising Demand Boosts Market For Opec Oil. ,1989-05-10
1144,Painful Lesson Learned. ,1989-05-10
1119,"8d-The Victoria Advocate, Wednesday, May 10, 1989. Firm ... ",1989-05-10
1114,Indian Wells Practices Detailed... Oil Thefts Found Common ,1989-05-10
1115,Firm Accused Of Oil Thefts Evacuation Proposed From Indians ,1989-05-10
1206,Commodities ,1989-05-10
1207,Nation's Oil Stockpile Losing Security Value. ,1989-05-10
1116,Company Linked To Theft Of Indian Oil. ,1989-05-10
1121,Company Implicated In Theft Of Oil Stolen From Indians. ,1989-05-10
1111,Ex-Oil Employees Say Stealing From Indian Wells Is Common ,1989-05-10
1170,Opec Secretary: World. Could Bear Higher. Oil Price. ,1989-05-11
1110,Letters: ,1989-05-11
1197,Regionstate Coal Production Expected To Remain Strong. ,1989-05-12
1198,The Rochester Sentinel ,1989-05-12
1201,Treasury Bills. ,1989-05-12
1150,Commodities ,1989-05-12
1143,Oil Price Increase Fuels Inflation ,1989-05-12
1209,Valdez Oil Spill Rearranging Alaskan Political Alliances. ,1989-05-13
1155,Halibut Season Opens Despite Oil. ,1989-05-15
1200,Outdated Plan Forms Basis Of Hudson Oil Spill Control. ,1989-05-15
1184,Oil Spill Inquiry To Begin ,1989-05-15
1139,Oil Spill Hearing Set For Tuesday. ,1989-05-15
1180,Toughest Taskmaster Battles Oil. ,1989-05-15
1191,Saudis Buying Into Texaco. ,1989-05-15
1151,And Now For The Eood News About The Valdez Oil Valdo? Nil Spill,1989-05-15
1156,Hearings On Alaska Spill Open Tuesday. ,1989-05-15
1138,Flexible-Fuel Vehicles Still Face Cost Problem. By Him K. ... ,1989-05-16
1187,"Oil, Gas Trading Light. ",1989-05-16
1178,Roderick ,1989-05-16
1185,Yamani Will Have The Last. Tv St! Strengthens Its Stranglehold,1989-05-16
1175,Toughest Taskmaster Battles The Oil Spill. ,1989-05-16
1188,Saudis Join Texaco At Gas Pumps. ,1989-05-17
1133,"Page 4. Puco Report Says Increase By Refiners, Not Oil ... ",1989-05-17
1123,Crude Oil Futures Soar. ,1989-05-17
1202,Sarasota Herald-Tribune ,1989-05-17
1164,Aid Motorists. ,1989-05-18
1186,Energy Prices Deteriorate. ,1989-05-18
1195,Events Make Him Wonder Whether Our Thinking's Upside Down,1989-05-18
