title,date,
Oil Prices Little Changed . ,1991-10-22,
Heating Oil Prices Well Below Year Ago. ,1991-10-22,
Oil Prices Take Plunge . ,1991-10-24,
Fuel Oil Prices Down From 1990,1991-10-24,
Oil Futures Lose Ground. ,1991-10-26,
Oil Prices Decline Halted. ,1991-10-29,
Oil Companies Post Huge Losses,1991-10-29,
Oil Futures Close Mixed. ,1991-10-30,
Lightning Destroys Oil Tanks. ,1991-10-31,
Opec Move To Maintain Production Means Little. ,1991-12-01,
Sanctions Weighed Against Libya. Ec Wants Alleged Terrorists ,1991-12-02,
Today's Lucky $50 Cash Winner Is: ,1991-12-04,
Oil Futures Dip Steeply . ,1991-12-06,
Natural Gas Futures Plunge. ,1991-12-06,
Oil Prices Slide Downward. ,1991-12-07,
Petronas Working On Another Gas Field. ,1991-12-08,
Crude Oil Prices Hit. 8-Month Low. ,1991-12-10,
Crude Prices Fall Again ,1991-12-10,
Oil Futures Prices Tumble. ,1991-12-10,
Oil Futures Make Rebound . ,1991-12-12,
Oil Futures Prices Rebound. ,1991-12-13,
Oil Prices Remain Stable . ,1991-12-14,
Oil Down In Light Trading. ,1991-12-17,
Analysts Predict Glut Of Oil. Price Month. Cuts Are Likely. ,1991-12-19,
Oil Futures Plunge Lower. ,1991-12-20,
Crude Prices Drop To 10-Month. ,1991-12-21,
Heating Oil Orices Fall. ,1991-12-22,
Soya Industry Cheers The Investors. ,1991-12-23,
Oil Futures Climb Higher. ,1991-12-24,
Colombian Oil Field Discovery Termed A Major Find. ,1991-12-25,
"Intentional Oil Spill, Fire Suggested By Industry. ",1991-12-25,
Energy Futures Move Up. ,1991-12-26,
Oil Futures Lose Ground. ,1991-12-27,
Oil Futures Move Higher. ,1991-12-28,
Oil Prices May Plunge Again To Say Experts. ,1991-12-29,
Oil Futures Prices Rise On On Inym. ,1991-12-29,
Broken Pump Blamed For Oil Spill. ,1991-12-30,
Oil Futures Mostly Lower. ,1991-12-31,
Report Says Biggest Culprit Is Corner Gasoline Station ,1992-04-01,
Oil Prices Approach $21 . ,1992-04-09,
El Nino May Bring Some Surprises To Palm Oil Mart. ,1992-04-10,
Officials Fear 13-Year Low. ,1992-04-15,
"Gasoline Prices, Demand Rise. ",1992-04-27,
"Rain Forecast Undermines Gains In Corn, Soybean ",1992-06-02,
European Demand Boosts Platinum Prices. ,1992-06-03,
Oil Prices Hit New Highs ,1992-06-04,
Oil Prices Holding Steady . ,1992-06-05,
Stock Market Drops Again ,1992-06-11,
"Grains, Soybeans Futures Are Lower. ",1992-06-13,
Japanese Join Vietnam Oil Rush Despite Trade Embargo. ,1992-06-15,
Rain Causes Soybean Futures Prices To Fall. ,1992-06-16,
Russia To Get Texas Refinery . ,1992-06-17,
Mexico River A Cesspool That Threatens Region ,1992-06-21,
Cocoa Rebounds From 19-Year Low. ,1992-06-26,
Oil Prices Fall Sharply . ,1992-07-01,
Fears Of General Strike Hikes Platinum Futures. ,1992-08-01,
Portland Gas Prices Hit Nationwide High. ,1992-08-03,
Coffee Falls As Talks Break Down. ,1992-08-03,
Pump Prices Highest In Portland ,1992-08-03,
Oil Prices Decline Again . ,1992-08-06,
Oil Prices Climb Higher. ,1992-08-07,
Crude Oil Price. ,1992-08-07,
Brews In Russian Oil Fields. ,1992-08-08,
Soybean Futures Fall On Outlook. ,1992-08-08,
Iraq Sends Odd Signals To Oil Mart . ,1992-08-09,
Oil Prices Continue Clown . ,1992-08-12,
Oil Prices .Close .Higher . ,1992-08-13,
Oil Prices Post Increase . ,1992-08-14,
Oil Prices Drop Slightly. ,1992-08-15,
Platinum Prices Still Falling. ,1992-08-15,
Mexico Reverses Its Policies On Oil. ,1992-08-16,
Oil Prices Slightly Higher. ,1992-08-18,
Oil Prices Fall Slightly. ,1992-08-20,
Oil Prices Rise. ,1992-08-21,
Russian Trade Value Down 30%. ,1992-08-25,
Oil Prices Lower. ,1992-08-26,
Energy Prices Move Lower . ,1992-08-26,
Low Oil Prices May Hit Supply. ,1992-08-27,
Andrew Cuts Production At Refineries In Two States . ,1992-08-27,
Unleaded Gas Prices Fall. ,1992-08-28,
"Grain, Bean Futures Close Mostly Lower. ",1992-08-29,
Qualms Drive Up Oil Prices. ,1992-08-29,
Hurricane Packs Punch To Cotton Sales Industry. ,1992-08-30,
Motor Oil Refining Should Be No Mystery Automotive Peooie ,1992-12-06,
Rough Seas Hinder Checks Of Submerged Oil Tanker. ,1992-12-06,
Butz Calls For Oil Price Rollback. ,1992-12-08,
Cattle Futures Rising. ,1992-12-19,
Oil Exports Reach $6 Billion ,1992-12-24,
Oil Prices Slightly Higher. ,1992-12-26,
"Tell Me/ A Night Of Wind, Rain, Prayer. ",1992-12-27,
No Fuel Price Slash Ramos. ,1992-12-28,
Grounded Oil Tanker. Starting To Break Up ,1993-01-09,
North Sea's Winds Toss Doomed Ship,1993-01-10,
Iraq Threats Drop Oil Prices. ,1993-01-12,
Great Britain Shetland Islands Hope For Rebound After Spill. ,1993-01-14,
Dyes Help Farmers See Where Herbicides Are Going. ,1993-01-18,
Burning Ship Spills Oil Near Indonesia. ,1993-01-22,
Oil Stages Weak Advance,1993-01-23,
Natural Gas Moves Back To Center Stage. ,1993-01-24,
Oil Magazine Predicts Modest Gains For 1993 . ,1993-01-24,
Tanker Continues To Burn. ,1993-01-25,
Oil Prices Surge On Call For Reduced Output. ,1993-01-26,
Nation Crude-Oil Tax Bill. Introducer ,1993-01-29,
Hort Oil Start Doling. ,1993-03-01,
Properly Disposing Off Used Motor Oil Is Vital. ,1993-03-02,
Opec Oil Output Rose In February. ,1993-03-03,
Gas Prices Down Nearly Penny. ,1993-03-04,
Economic News Makes Lumber Futures Soar. ,1993-03-05,
Energy Prices Rally. ,1993-03-05,
Ashland Officials Plan To Lobby Against Clinton Energy Tax. ,1993-03-07,
Drop In Gas Prices May Be Short-Lived. ,1993-03-08,
Gas Prices Decline Again ,1993-03-08,
Oil Prices. Decline,1993-03-09,
"Irving Oil Must Pay $50,000 Fine In Nb. ",1993-03-11,
Mckay Defends $4 Million Tax Deduction Former Ashland Oil ,1993-03-11,
Oil Price Below $19 Support Level. ,1993-03-13,
Oil Moves On Friday Rally . ,1993-03-13,
Oman Oil Tie-Up. ,1993-03-17,
Oil Prices Finish Higher. ,1993-03-18,
Us Exports Drop In January. ,1993-03-18,
"Tanker Hull Cracks, Spills Oil Off Azores. ",1993-03-19,
"Fuel Prices Continue Climb, Increases Are Expected Through ",1993-03-19,
Natural Gas Higher Again ,1993-03-20,
Gasoline Prices Increase Slightly. ,1993-03-22,
Oil Prices Show Decline. ,1993-03-23,
Huntington's Disease. Science Journals Race To Report ... ,1993-03-24,
Pipe Ruptured By Ice Blamed In,1993-03-26,
Some Environmentalists Unhappy. First-Ever Auction Puts,1993-03-29,
New Accounting Rule Axes Profits Of Fortune 500 Firms. ,1993-03-31,
Iraq Says No Retaliation; Calls For Army Readiness. ,1993-07-02,
Kuwait Oil Lakes Pose Big Threat. ,1993-07-02,
Four Die In Oil Tank Explosion ,1993-07-03,
Oil Prices Tumble Over Lifting Iraqi Export Ban ,1993-07-03,
Four Dead After Tank Explosion By Bob Lewis. ,1993-07-04,
Soybean Hulls May Hel Clean Up Petroleum Spi Is. ,1993-07-07,
Oil Tank Tragedy Prompts Debate Over Effectiveness Of ... ,1993-07-08,
Talks Depress Oil Prices . ,1993-07-09,
Good News On Inflation Front Only Draws Yawn From Dow. ,1993-07-13,
Oil Prices Plunge To 3-Year Low. ,1993-07-14,
Hints Of More Iraqi Oil Lower Prices. ,1993-07-16,
American Oil Firms Buying From Iran Win ,1993-07-17,
Opec Calls Emergency Meeting On Crude Prices. ,1993-07-19,
"Contaminated Soil, Oil Lakes Threaten Kuwait's Ecology. ",1993-07-23,
"Mobil Oil, Exxon See Earnings Gush In Second Quarter. ",1993-07-25,
Gas To Be Biggest Money Spinner. ,1993-07-25,
Gasoline Prices Member Of Chilton's Staff Fan At The Pump,1993-07-26,
Market Dips Following Losses In Steel Stocks. By Lisa Genasci,1993-07-28,
Aground Federal Cuts Pose To Threat To Oil,1993-07-30,
Lowry Orders Tankers To File Spill.,1993-09-01,
Traders .Watch .Oil .Market . ,1993-09-01,
"Gas Prices Slip, But Not For Long.",1993-09-02,
Future Looks Somewhat Cloudy For Nation's Futures Exchanges,1993-09-02,
Unsoeld Backs Action On Oil Spill Plans. ,1993-09-03,
Oil Orices Hrnn Before Holiday. ,1993-09-04,
Oil Price Eases. ,1993-09-05,
"Industry Needs Wheels Greased, Oilmen Say. Jation And ... ",1993-09-10,
Stocks Rally As Interest Rates Recede,1993-09-11,
Oil Futures Settle Lower After Heavy Selling. ,1993-09-11,
Prices Still Higher In Portsmouth. ,1993-09-12,
Local Gas Prices Top Us. Norm ,1993-09-13,
Energy Futures Advance. ,1993-09-14,
Crude Production Lowering Prices. ,1993-09-15,
Tumbling Oil Prices Pressure Opec To Cut Back On Runaway ,1993-09-16,
Guzzle Gas Now Low Prices Could Increase Soon ,1993-09-18,
High Grazing Fees Have Ranchers Running Scared. ,1993-09-19,
Minimize Foreign Oil Use. ,1993-09-20,
Energy Prices. Surge Higher. ,1993-09-21,
Joint Exercise To Combat Oil Spills In Straits. ,1993-09-21,
Oil Price Stable. ,1993-09-23,
Saudis Won't Reduce Oil Production ,1993-09-24,
Worries Over Opec Meeting Force Oil Futures Lower. ,1993-09-25,
Gas: Costs Locally Still Above Average Elsewhere. ,1993-09-26,
Bp Selling Stations But No Changes Expected. ,1993-09-27,
"Tax Increase, Clean Air Rules Send Gas Prices Even Higher. ",1993-09-29,
Added Federal Tax To Pump Up Price Of Gas Today. Gasoline From,1993-10-01,
No Spill From Oil Tanker Explosion ,1993-11-03,
Indians Sue Texaco. ,1993-11-04,
"Planting Concerns, Export Hopes Cause Wheat To Vault To ... ",1993-11-06,
Gas Deposits Discovered Off Coast. Chapel Nc. Methane ... ,1993-11-06,
Ecuadorans Sue Texaco For It. ,1993-11-07,
Oil Rnmnanv Wins Inaugural Award. ,1993-11-10,
Bahrain May Revive Art Of Pearling. ,1993-11-14,
Indianoi Launches Fuel-Efficient Lantern. ,1993-11-17,
Markets Feel Tough Talk From Opec. ,1993-11-18,
Washington Oil Investments Probed. ,1993-11-23,
Beijing Advised To Import More Oil. ,1993-11-28,
Stocks Fall As Rally Fizzles. ,1993-11-29,
Dow Awaits Employment Data. ,1994-05-06,
Stocks Mostly Lowei In Light Trading Day. ,1994-05-06,
Gas Prices Higher. ,1994-05-08,
Coffee Prices Perk To 5-Year High On Supply Shortfall. ,1994-05-17,
Shell Kenning To Improve Refining Efficiency. Shell Refining ... ,1994-05-19,
McCook Daily Gazette ,1994-05-20,
Agreement Reported Toward Lifting Ban ,1994-05-22,
Gas Prices Jump As Holiday Nears ,1994-05-26,
Soybean Prices Down. ,1994-05-26,
Refinery Moves Toward Shutdown And Possible Sale. ,1994-11-01,
Oil Prices Finish Lower. ,1994-11-04,
Platinum Futures Plunge Amid Technical Selling. ,1994-11-08,
Gas Prices Up,1994-11-09,
Beleaguered Muscovites Rail At Gas Crisis ,1994-11-11,
Spot Shortages Of Cleaner Gasoline Seen. ,1994-11-14,
Copper Futures Prices Surge To Four-Year Highs. ,1994-11-15,
Gasoline Shortages Predicted. ,1994-11-15,
New Gas Shortages Predicted. ,1994-11-17,
Agency Predicts Rise In Oil Prices,1994-11-17,
"Exports Decline, Trade Gap Worsens. ",1994-11-19,
Trade Deficit Gets Worse As Exports Decline. ,1994-11-19,
"Exports Decline, Trade Gap Worsens. ",1994-11-20,
Oil Futures Soar On Russia's Plan ,1994-11-22,
New Oil Well Find Of Big Significance. ,1994-12-01,
"Fund Losses Push Calif, County Into Bankruptcy. ",1994-12-03,
Area Patents Issued. ,1994-12-05,
"Chevron Predicting Growth At Pascagoula, Downsizing Elsewhere",1994-12-07,
Appeal Withdrawn In Refinery Land Case. ,1994-12-13,
New Law May Raise Price Of Oil. ,1994-12-13,
Venezuela Us Have A Lot In Common ,1994-12-14,
"Indons, Aussies Guard Oil Drills. ",1994-12-16,
Gas Prices Drop About A Penny. ,1994-12-18,
Oil Price Rises At Futures. ,1994-12-18,
Retailers Cut Prices Of Gasoline. ,1994-12-19,
Bias Prices Hold Steady As Holiday Travel Nits. ,1994-12-20,
Mississippi River Closed By Oil Spill. ,1994-12-22,
County's Spill Cleanup A Unique Effort. ,1994-12-23,
Oil Prices Recover After Drop. ,1994-12-24,
President Got Stifled On Deal With N. Korea ,1994-12-25,
Silver Rides Weakening Dollar To Four-Week High. ,1994-12-29,
Backs Martin-Lockheed Merger. ,1994-12-30,
Rate Hikes Blamed As New Home Sales Fall. ,1994-12-31,
Energy Futures Drop . ,1995-03-02,
Dollar Drops Despite Support Effort. ,1995-03-04,
Energy Futures Higher. ,1995-03-08,
Dudayev Asks World Leaders To Intervene In Conflict. ,1995-03-11,
1 Billion Iran Oil Deal No Secret,1995-03-17,
Conoco Forced Clinton's Hand On Iran ,1995-03-20,
Russian Refinery Ready For Restart. ,1995-03-29,
Nader May Soon Own Historical Building. ,1995-04-02,
"Stocks Solid, Smaller Gains. ",1995-04-03,
Gasoline Prices Climbing . ,1995-04-06,
Gas Prices Rise. ,1995-04-26,
Ridge Expects Jobs Loss. ,1995-04-28,
Will Russians Join Us. Trade Ban With Iran'. ,1995-05-07,
Iran Warns Us. ,1995-05-07,
Ban May Curb Iran Ambitions,1995-05-11,
Checkers Reports Losses For First Quarter. ,1995-05-12,
Will Russians Join The Us. Ban On Traae Wun Iran ,1995-05-15,
Senate Oks Oil Exports. ,1995-05-18,
Trade Deficit Dips In March. ,1995-05-18,
Gas Hikes Unjustified. ,1995-05-19,
Heist Corp Could Turn Out To Be Real Steal. ,1995-05-21,
Oil Exec To Join Board Of Defiance College. ,1995-05-24,
Oil Refinery Leaks; 35 Are Hospitalized. ,1995-05-30,
Gas Leak Injures 35. ,1995-05-31,
Stock Market Optimistic. ,1995-07-06,
Oil Futures Prices Decline. ,1995-07-08,
"Iraq, Iran Seeking Ways To Expand Cooperation",1995-07-09,
Survey Finds 1-Cent Drop In Pump Prices. ,1995-07-09,
Texan Will Resign Federal Job To Possibly Seek Dem Position ,1995-07-11,
Exxon's Earnings Soar. ,1995-07-22,
Oil Export Ban Lifted By House. ,1995-07-23,
"Typhoon Leaves At Least 16 Dead, Leaking Tanker. ",1995-07-24,
Ashland Oil Awards Jeffboat $70 Million Fuel-barge Deal . ,1995-08-05,
Consumer Prices Rise 0.2 Percent; Gas Prices Drop. ,1995-08-10,
"Prices Percent Change, Month Seasonally Adjusted Or Inn. I. ",1995-08-12,
"Gasoline Prices, At Pump, Fall. Sluggish Retail Sales, Down ",1995-08-12,
Energy Prices Close Lower. ,1995-08-16,
Long Island Brush Fire Out Of Control. ,1995-08-25,
Energy Futures Prices Mostly Down In Thin Trading After Selloff,1995-08-26,
Wall Street Recovers Poise While Tech Issues Cope With Selloff,1995-08-30,
Energy Company Buys Another. ,1995-08-31,
Low Gas Prices May Fuel Holiday Travel. ,1995-08-31,
Oil Sunflowers Sum. Low Crude Oil Prices,1995-10-02,
Dow Dips Oil Prices Drop. ,1995-10-04,
Stocks Slightly Weaker. ,1995-10-04,
Coffee Prices Climb. ,1995-10-14,
Coffee Prices Rise More Than 3 Cents. ,1995-10-15,
Pennsylvania Explosion Rocks Plant In Venango Co. ,1995-10-16,
Three Dead In Refinery Fire. ,1995-10-17,
Update Dow Drops Oil Prices Go Up. ,1995-10-17,
Trade Deficit In Month Hits Low For Year. ,1995-10-19,
Dow Drops Nasdaq Up 9.93. ,1995-10-19,
Columbia Crew Member Mixes Rrvstals Like Milkshakes,1995-10-22,
Selling Spree Drops Stocks. ,1995-10-26,
Tanker Runs Aground; No Pollution Reported. ,1995-10-30,
Update Stocks Rise 148% Gold Falls Slightly. ,1995-10-31,
Extreme Cold Hampers Alaska Oil Spill Cleanup. ,1995-12-08,
Dow Drops Oil Prices Go Up. ,1995-12-13,
Crude Oil Passes $19 Mark. ,1995-12-22,
Gasoline Prices Increase 1.6 Cents. ,1995-12-25,
