"시점","분기 및 월별(1)",분기 및 월별(2),가계지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,소비지출,비소비지출,비소비지출,비소비지출,비소비지출,비소비지출,비소비지출,비소비지출,비소비지출,비소비지출,비소비지출
"2023","1분기",소계,5842,5048,833,46,552,110,100,558,358,252,183,27,299,-,1730,793,45,19,55,102,140,73,144,41,175
"2023","1분기",1월,2346,2064,383,17,186,41,27,225,118,81,73,8,105,-,801,282,42,5,18,32,43,14,52,13,64
"2023","1분기",2월,1788,1500,228,14,179,37,29,174,115,88,61,11,101,-,464,288,2,5,18,33,50,45,63,14,57
"2023","1분기",3월,1708,1484,221,15,187,32,44,158,126,84,49,9,93,-,465,224,1,9,19,36,47,15,29,14,54
"2023","2분기",소계,5636,4875,826,48,536,130,126,634,385,248,155,25,303,-,1460,761,39,18,55,117,150,47,96,41,198
"2023","2분기",4월,1869,1625,261,17,171,42,46,221,120,84,69,9,96,-,488,244,2,6,18,37,50,10,35,11,75
"2023","2분기",5월,1979,1718,288,15,226,47,44,199,129,83,40,8,111,-,529,261,6,8,19,38,56,19,27,18,70
"2023","2분기",6월,1788,1532,276,16,139,41,37,214,136,80,47,8,96,-,443,256,31,4,19,42,44,18,34,12,54
"2023","3분기",소계,5812,4896,972,52,383,129,99,616,383,255,170,37,318,-,1482,915,161,17,53,120,117,74,162,41,170
"2023","3분기",7월,1821,1527,263,16,129,43,34,222,132,85,52,9,107,-,436,294,48,5,18,37,35,22,61,14,56
"2023","3분기",8월,1874,1597,268,18,124,43,36,240,133,83,54,14,116,-,468,277,9,4,17,43,42,34,46,17,64
"2023","3분기",9월,2117,1772,442,19,131,42,30,155,118,86,64,14,95,-,577,345,104,9,18,40,40,19,56,10,50
"2023","4분기",소계,6562,5498,1043,47,603,154,159,733,426,249,217,30,341,-,1496,1064,83,22,76,131,241,79,140,75,216
"2023","4분기",10월,2078,1719,284,17,176,51,51,226,136,85,58,9,124,-,502,359,28,6,17,41,119,24,53,14,58
"2023","4분기",11월,2183,1895,451,16,176,52,54,232,149,85,81,8,107,-,486,288,11,10,17,44,66,24,36,16,65
"2023","4분기",12월,2301,1884,308,15,251,51,53,275,141,79,79,14,111,-,508,417,44,7,41,46,56,31,52,46,93
"2023","원부",소계,6698,6698,-,-,-,-,-,-,-,-,-,-,-,6698,-,-,-,-,-,-,-,-,-,-,-
