Rank,Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Genre,Director,Actor
11,범죄도시,2017-10-03,56322153349,0.016,56322153349,6880546,6880546,1315,149389,한국,한국,"(주)홍필름,(주)비에이엔터테인먼트","플러스 엔터테인먼트,(주)키위미디어그룹",청소년관람불가,"범죄,액션",강윤성,"마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호"
12,군함도,2017-07-26,50507675168,0.0139999999999999,50510565168,6591737,6592151,2027,108774,한국,한국,"(주)외유내강,(주)필름케이",(주)씨제이이엔,15세이상관람가,"액션,드라마",류승완,"황정민,김규백,소지섭,명인호,송중기,양동원,이정현,김수안,지웅배,손용범,박선,박선주,박영준,박정민,박준서,박준서,박혜민,성정훈,오정현,오형근,전창현,정규호,정부용,지재우,이다영,이동준,이상협,이선민,이세형,이윤,최호영,이재민,이정민,이정은,이정현,이제훈,허승준,이준희,이지은,이지환,이태영,이하은,이하준,이경영,장성범,백승철,김준한,김고은,박성일,설준수,조경현,여윤호,이준혁,신희철,김동영,이정현,전배수,윤경호,강덕중,김정원,이문석,정병두,김예은,김인우,정만식,정태야,추연규,한윤식,박상호,장우용"
13,미션 임파서블: 폴아웃,2018-07-25,55888375112,0.016,55888375112,6584915,6584915,1957,101374,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈"
14,캡틴 마블,2019-03-06,51491272223,0.0139999999999999,51491272223,5801069,5801069,2100,185978,미국,미국,nan,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF","애너 보든,라이언 플렉","브리 라슨,사무엘 L. 잭슨,벤 멘델슨,주드 로"
15,쥬라기 월드: 폴른 킹덤,2018-06-06,49770711037,0.0139999999999999,49770711037,5661128,5661128,1972,144779,미국,미국,nan,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,저스티스 스미스,토비 존스,B.D. 웡,테드 레빈,제임스 크롬웰,라프 스팰,제랄딘 채플린,마이클 파파존,카밀 레미에쉐브스키,다니엘라 피네다,로버트 엠스"
16,청년경찰,2017-08-09,44382020516,0.012,44382020516,5653444,5653444,1102,118547,한국,한국,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,김주환,"박서준,강하늘,박승호,성동일,한도진,박하선,정다은,권현우,류우석,김규백,이하준,이현일,임대현,박정훈,장석진,서은지,서정우,서지원,신정화,조윤주,우상기,이강재,이다영,최광원,최지민,이도현,이상민,이세희,이수진,한재욱,이은비,이재웅,이정수,이주원,서정연,고준,전준영,이호정,배유람,이승희,류경수,정원중,이수인,김강현,최홍일,정동훈,안성봉,양현진,서도빈,지찬,이규성,변우석,박재홍,태윤,오유진"
17,앤트맨과 와스프,2018-07-04,47468053685,0.013,47468053685,5448134,5448134,1775,148244,미국,미국,nan,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF",페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,미셀 파이퍼,로렌스 피쉬번,해나 존-케이먼,마이클 페나,월튼 고긴스"
18,안시성,2018-09-19,46342006026,0.013,46342006026,5441020,5441020,1540,110444,한국,한국,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"사극,액션",김광식,"이태진,조인성,신현숙,남주혁,박성웅,차영주,김경희,배성우,엄태구,설현,박병은,오대환,성동일,정은채,유오성,김미지,여윤호,박인수,이승일,이현,이경재,이낙준,이동민,이상혁,이상호,이성욱,이세민,이승석,배유리,이승환,배준수,이원재,이은희,이은희,이인규,이정민,김종호,이준우,이진용,이태진,이호준,임동영,임상현,김현우,김현창,나대한,오진석,유병주,윤정열,문창준,박경관,임용순,박세준,정미경,정지훈,김한솔,정태영,조석현,조형래,조혜인,조혜인,김욱,김대현,김동민,김동진,김명준,김민혁,최희열,한명환,한아름,한정환,김이현,김원중,김세홍,강희중,주석태,손영순,장광,옥자연,여이레,정인겸,신유람,박태산,정태야,황재필,이람,정현국,오일용,이정선,이민혁,문창완,장이준,스테파니 리"
19,블랙 팬서,2018-02-14,45885729957,0.013,45885729957,5399327,5399327,1620,119180,미국,미국,nan,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마,SF",라이언 쿠글러,"채드 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,포레스트 휘테커,앤디 서키스,레티티아 라이트,다니엘 칼루야,윈스턴 듀크"
20,스파이더맨: 파 프롬 홈,2019-07-02,46160184110,0.013,46160184110,5383152,5383152,2142,102094,미국,미국,nan,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,코미디,SF",존 왓,"톰 홀랜드,사무엘 L. 잭슨, 데이아 콜먼,코비 스멀더스,존 파브로,마리사 토메이,제이크 질렌할,제이콥 배덜런"
21,완벽한 타인,2018-10-31,44356976474,0.012,44356976474,5294154,5294154,1325,143074,한국,한국,"(주)필름몬스터,드라마하우스(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"드라마,코미디",이재규,"유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,지우,정민규,정지훈,조용진,최유화,조달환"
22,독전,2018-05-22,43486831113,0.012,43486831113,5063844,5063844,1532,140008,한국,한국,"(주)용필름,보야저필름",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우,이경제,이민호,김재훈,백승환,이정철,이정호,김준형,이주영,이지민,안성봉,김태준,김태현,오현석,박성연,박예진,박은영,박정진,박종범,정여진,박진수,최성철,김대근,황기석,김양수,김선우,강승현,강지현,김누리,김동영,진서연,정가람,김동영,금새록,정준원,서문호,이육헌,윤재인,정종우,추연규"
23,아쿠아맨,2018-12-19,44113456704,0.012,44113456704,5038134,5038134,1285,105004,미국,"미국,호주",nan,워너브러더스 코리아(주),12세이상관람가,액션,제임스 완,"제이슨 모모아,앰버 허드,니콜 키드먼,패트릭 윌슨,윌렘 데포,돌프 룬드그렌"
24,공작,2018-08-08,42793532816,0.012,42793532816,4975194,4975194,1317,99118,한국,한국,"(주)영화사 월광,(주)사나이픽처스",(주)씨제이이엔,12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현,이경호,이기용,이동희,이상원,이상현,박현민,김재희,이승찬,이승환,이승훈,이은영,김정현,이재우,이재혁,김정호,김종수,김지나,서주연,손승훈,이창석,이창훈,이희경,김지혜,김지홍,김진영,김현중,김형기,김형우,정재헌,박진영,강주석,정혜경,조현수,강민지,김다솜,김대현,김미혜,최운진,최지현,최희열,김소진,김수연,김은아,김승희,김영진,김영훈,김용석,김우영,김우현,주해은,한창현,양현민,정기섭,민무제,한성천,금새록,김응수,최병모,손성찬,홍기준,정소리,김규백,김규남,최정인,박경찬,곽자형,강덕중,류성현,감승민,김현,윤재인,권범택,설창희,김인우,양지수,곽진석,박혁민,염석무,엄지만,정종우,김도율,권유진,김종태,박진수,박혜영,곽민석,임정민"
25,킹스맨: 골 서클,2017-09-27,40987484736,0.011,40987484736,4945484,4945484,1687,95922,미국,"미국,영국",nan,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디",매튜 본,"콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,채닝 테이텀,제프 브리지스"
26,토르: 라그나로크,2017-10-25,39261266595,0.011,39261266595,4858572,4858572,1640,137496,미국,미국,nan,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",타이카 와이티티,"크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,칼 어번,마크 러팔로,안소니 홉킨스"
27,강철비,2017-12-14,35490346466,0.01,35490346466,4452850,4452850,1426,80359,한국,한국,"(주)와이웍스엔터테인먼트,(주)브이에이스튜디오",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희,한창현,이양희,현봉식,손성찬,이지원,강덕중,최현종,권범택,천재홍,정종우"
28,꾼,2017-11-22,31313568795,0.009,31313568795,4018341,4018341,1314,117419,한국,한국,(주)영화사두둥,(주)쇼박스,15세이상관람가,범죄,장창원,"현빈,유지태,배성우,박성웅,나나,안세하,최덕문,전보람,전헌태,이용희,이재남,이창호,김동철,황인범,차순배,염동헌,허성태,주석태,정민성,최홍일,김자영,류성현,유정호,손병욱,신정섭"
29,베놈,2018-10-03,34100211207,0.01,34100211207,3888096,3888096,1308,116149,미국,미국,nan,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,SF,스릴러",루벤 플레셔,"톰 하디,미쉘 윌리엄스,리즈 아메드,제니 슬레이트"
30,남한산성,2017-10-03,31225419792,0.009,31225419792,3849129,3849129,1229,71102,한국,한국,(주)싸이런픽쳐스,(주)씨제이이엔,15세이상관람가,"사극,드라마",황동혁,"이민배,이병헌,김윤석,박해일,고수,박희순,조우진,박주운,박지원,백동현,서병철,장정국,이정호,이호중,권효민,신희철,한창현,허성태,이상희,곽자형,강덕중,박지일,최희도,엄지만,박재한"
31,암수살인,2018-10-03,32995138548,0.009,32995138548,3789321,3789321,1177,126127,한국,한국,"(주)필름295,(주)블러썸픽쳐스",(주)쇼박스,15세이상관람가,"범죄,드라마",김태,"김윤석,주지훈,문정희,진선규,이재현,이윤재,김종수,김지성,이현주,임병우,김진혁,김학준,윤성원,박성현,박진수,박진영,권회수,허진,김영웅,김윤석,배해선,이봉련,정기섭,이유준,원현준,김미경,김미화,정종준,황재열,박재한"
32,데드풀 2,2018-05-16,34185664639,0.01,34185664639,3784602,3784602,1576,113288,미국,미국,nan,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디,SF",데이빗 레이치,"라이언 레이놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드"
33,국가부도의 ,2018-11-28,30892815837,0.009,30892815837,3755133,3755133,1180,101074,한국,한국,영화사 집,(주)씨제이이엔,12세이상관람가,드라마,최국희,"김혜수,유아인,허준호,조우진,뱅상 카셀,이원희,이은주,손민석,손영진,이하윤,김진구,박경관,박재민,박재영,박정민,권훈,김기현,염혜란,최준영,조한철,한창현,엄효섭,장성범,동하,박진주,이양희,손성찬,전배수,백도겸,박경찬,정종열,양말복,한이진,김민상,이영희"
34,코코,2018-01-11,27723289440,0.008,27723289440,3513114,3513114,1177,85934,미국,미국,nan,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫"
35,스파이더맨: 홈 커밍,2017-07-05,27676489896,0.008,59125813820,3440108,7258678,1797,106077,미국,미국,nan,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 왓,"제이콥 배덜런,톰 홀랜드,로버트 다우니 주니어,마이클 키튼,마리사 토메이, 데이아 콜먼,존 파브로,마틴 스타,로건 마샬-그린,가르셀라 보베,스 리,보킴 우드바인,케네스 최,토니 레볼로리,타인 달리"
36,그것만이 내 세상,2018-01-17,27454117382,0.008,27454117382,3419753,3419753,956,95432,한국,한국,"(주)제이케이필름,(주)씨제이이엔",(주)씨제이이엔,12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영,최리,이가경,이상준,박현주,이소정,이정호,이종승,이주영,이준석,안성봉,박상훈,박성훈,박소은,장혜리,정승환,박지연,박지훈,박지훈,조윤주,김동규,김민주,김유진,박지연,정윤하,오혜원,류제승,권귀빈,백현진,유정호,김서원,김병춘,김현정,김상욱,서정우"
37,돈,2019-03-20,28869614062,0.008,28869614062,3389035,3389035,1431,120808,한국,한국,"(주)사나이픽처스,(주)영화사 월광",(주)쇼박스,15세이상관람가,범죄,박누리,"류준열,유지태,조우진,원진아,박명신,이화룡,오희준,정기섭,차래형,김강현,유재명,이서환,정만식,임세미,한주완,서명찬,이무생,홍인,임천석,우지이,강우신,홍석찬,임교은,박용복,백명재,백정우,추판호,배재완,추국현,주제희,김일석,안문주,선인호,황혜진,현명석,노현욱,구혜연,권욱락,환현규,서아라,강이나,천세라,최별하,최예록,박아정,현정애,김운송,허철영,구효길,백승인,주동희,이태검,강덕중,남문철,동윤석,동현배,고해성,박상훈,곽진석,구본진,박성용,맹나현,박성현,박세정,권지훈,권혁성,서정우,김기정,선율우,박준혁,성승주,박준호,김대현,손영민,손우진,손종학,송승현,신재민,변진수,김민아,김민재,안현빈,유지수,오경민,오대환,육효명,김상욱,신나리,김세정,윤선혜,윤용석,윤용석,윤육,이정철,고재경,장영주,김재영,허지나,최영우,이지연,장훈,김혜련,김혜준,이지혜,황병국,이수련,조우진,김종수,이육헌,최현종,황정민,최정현,김시우,조정원,정도원,이가경,강동균,정민규,주보라,김지나,김지성,진선규,이도국,김진옥,최희진,이연우,김하영,김성강,정세아,김태한,김왕도,이민정,김윤영,김윤오,김찬이,이원찬,이현일,이유진,명재환,이윤경,이은석,정수용,김태빈,이이슬,박광진,김철민,윤채연,김진호,박소리,안지은,안태준,이호근,박현욱,최현종,전희련,오승훈,장규미,김현우,한성호,한수용,곽진석,장규미,노상현"
38,악인전,2019-05-15,29126693850,0.008,29126693850,3363660,3363660,1307,97319,한국,한국,(주)비에이엔터테인먼트,"(주)에이스메이커무비웍스,(주)키위미디어그룹",청소년관람불가,"범죄,액션",이원태,"마동석,김무열,김성규,문동혁,오희준,민무제,문순주,김근영,전배수,유재명,이서환,신희철,강문봉,남승화,박보경,공민규,공성하,곽최산,권혁,김결,서문호,김규리,김동민,배경민,김명희,백수진,백승민,신영선,이정우,안성봉,신하준,김민준,유승목,유승목,유재명,김보경,오상준,오상준,오현석,윤영균,임효진,김이현,최민철,최선영,정지훈,이상희,김재영,김건,김정석,이성훈,류성현,이소진,황보정일,이육헌,황인성,우강민,윤현주,정미경,강수빈,강영택,김준영,권다솜,이승현,차순배,이승훈,권정우,권혁일,이도군,김진옥,이동기,표성수,이동욱,이동준,이영아,한상철,조승국,한지아,류태호,우상전,우원규,김우림,유용국,이은샘,민경수,정유선,정여루,신기록,이재은,김윤성,안민하,이성일,박은보,이유선,배진호,양지수,최현경,배민준,염미선,전시현,장선정,성주원,허동원,안영석"
39,슈퍼배드 3,2017-07-26,24217091019,0.0069999999999999,24217091019,3324874,3324874,1057,59388,미국,미국,nan,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","스티브 카렐,크리스틴 위그,트레이 파커"
40,아이 캔 스피크,2017-09-21,25545775986,0.0069999999999999,25545775986,3282422,3282422,1140,93063,한국,한국,"주식회사 영화사 시선,(주)명필름","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",12세이상관람가,코미디,김현석,"나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,박준서,이정현,홍상원,황연희,이재인,우지현,이신성,최수인,우상기,이대연,이정현,손성찬,정원창,김자영,김경덕,손경원,설창희,정태야,추연규,이승민,이범규,김선경"
41,마녀,2018-06-27,27242029463,0.008,27242029463,3189091,3189091,1117,90843,한국,한국,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),15세이상관람가,"미스터리,액션",박훈정,"김다미,조민수,박희순,최우식,백승철,김하나,이강곤,이상용,백규현,김종면,김종훈,서영희,송민수,이주원,이채현,이하영,이혜성,남경민,모그,박상현,박상훈,박시현,장민재,정다은,박정수,정승채,정지민,김한솔,조제웅,진영준,권용석,김기훈,김미진,최정우,김상훈,김수현,김승우,김영원,김영민,김우주,고민시,권태원,현봉식,이기영,최현종,오미희,김병옥,이주원,곽진석,명홍진"
42,탐정: 리턴즈,2018-06-13,26909459678,0.008,26909459678,3152872,3152872,1137,107907,한국,한국,(주)크리픽쳐스,(주)씨제이이엔,15세이상관람가,"코미디,범죄",이언희,"권상우,성동일,이광수,이일화,남명렬,손담비,최성원,김동욱,박성일,오희준,이광호,이동민,이동민,서영희,심상민,엄진용,임승묵,박성연,임효우,박영식,정성호,정연주,정인영,박태강,정택호,조혜선,최광락,권혁석,김동욱,김미진,최재옥,홍광석,홍광석,김선간,김수영,김승필,김승필,김용호,김원진,김성규,김연교,백인권,이상"
43,인크레더블 2,2018-07-18,24555055588,0.0069999999999999,24555055588,3033105,3033105,1605,70935,미국,미국,nan,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,액션,어드벤처,코미디,가족",브래드 버드,"크레이그 T. 넬슨,사무엘 L. 잭슨,홀리 헌터"
44,서치,2018-08-29,25284465345,0.0069999999999999,25284465345,2950097,2950097,1097,95761,미국,미국,nan,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,아니쉬 차간티,"존 조,데브라 메싱"
45,토이 스토리 4,2019-06-20,24660848640,0.0069999999999999,24660848640,2908206,2908206,1336,71570,미국,미국,nan,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,코미디",조시 쿨리,"톰 행크스,팀 알렌,애니 팟츠,토니 헤일,키아누 리브스,조앤 쿠삭,매들린 맥그로"
46,말모이,2019-01-09,23987145520,0.0069999999999999,23987145520,2866020,2866020,1203,87840,한국,한국,더램프(주),롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,엄유나,"유해진,윤계상,김홍파,우현,김선영,민진웅,이성욱,조현철,오희준,정기섭,허성태,김동영,예수정,김태훈,김규백,이정은,유재명,이서환,윤경호,조현도,선승수,채동현,송형수,이새로미,김철무,이다일,최윤빈,차준서,지원호,윤준열,정원,고재원,정임섭,조성운,유용희,명인호,이상희,박경근,강유미,강태수,구민혁,박성용,권혁,박영서,서문호,서영주,박준희,김남훈,김대현,김도엽,송부건,송영창,송영창,송지호,김동효,백경윤,김문식,신재영,유순웅,유은미,오경민,오규택,김서윤,김세한,윤영균,최귀화,이상희,조석인,조수빈,조승구,조유신,전진기,이육헌,윤준상,윤준호,이강우,강전영,구준우,김길범,이도용,이동현,김한빛,김학충,이영호,한대훈,임수지,조용진,이호철,노영주,김태율,유상재,이현걸,박예나,박원석,전병덕,서영재,김민석,박나은"
47,너의 결혼식,2018-08-22,23676244369,0.0069999999999999,23676244369,2820969,2820969,970,98193,한국,한국,"(주)필름케이,(주)외유내강",플러스 엔터테인먼트,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강,이동석,이재상,서남윤,김준수,김지훈,김태환,김학준,김한슬,박규태,정난희,박종범,박주희,정유진,정주호,조영웅,김건중,홍근택,홍진기,김영훈,김성준,강희중,배해선,조성희,신희철,김현숙,안민영,전배수,윤경호,강덕중,유희제,하준,김성준,박성준,김민석"
48,덩케르크,2017-07-20,24576771848,0.0069999999999999,24576771848,2792705,2792705,1252,66005,미국,"미국,영국",nan,워너브러더스 코리아(주),12세이상관람가,"액션,드라마,스릴러,전쟁",크리스토퍼 놀란,"톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,제임스 다시,케빈 구스리"
49,곤지암,2018-03-28,21444236144,0.006,21444236144,2675883,2675883,1124,88553,한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,"공포(호러),스릴러",정범식,"위하준,박지현,오아연,문예원,박성훈,이승욱,류제윤,이주원,정아노마"
50,살인자의 기억법,2017-09-06,21375287492,0.006,21375287492,2658589,2658589,1064,88686,한국,한국,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,(주)영화사 이창",(주)쇼박스,15세이상관람가,"범죄,스릴러",원신연,"설경구,김남길,설현,오달수,이현명,장정윤,전동성,전동성,전동성,전승표,백연정,백연정,정동석,정동석,유지현,윤선용,추동우,함연주,이종건,박상욱,박상운,전승표,김정영,이병준,김혜윤,최유송,김경민,정인겸,엄지만"
51,지금 만나러 갑니다,2018-03-14,20800916128,0.006,20800916128,2602273,2602273,1191,97482,한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은,이진,이상철,이재환,이정민,변지은,김지민,송지연,이준성,김지호,김하은,유은성,박서준,정유민,정현우,차봉주,김경애,김선웅,김범준,공효진,김민석"
